,year,who,cent
0,1810,72,19th
1,1811,40,19th
2,1812,36,19th
3,1813,40,19th
4,1814,71,19th
5,1815,71,19th
6,1817,78,19th
7,1818,4,19th
8,1819,65,19th
9,1820,21,19th
10,1821,13,19th
11,1822,41,19th
12,1823,25,19th
13,1824,23,19th
14,1825,46,19th
15,1826,13,19th
16,1827,137,19th
17,1828,22,19th
18,1829,0,19th
19,1830,41,19th
20,1831,10,19th
21,1832,24,19th
22,1833,52,19th
23,1834,60,19th
24,1835,5,19th
25,1836,11,19th
26,1837,0,19th
27,1838,33,19th
28,1839,34,19th
29,1840,32,19th
30,1841,14,19th
31,1842,222,19th
32,1843,62,19th
33,1844,13,19th
34,1845,9,19th
35,1846,10,19th
36,1847,49,19th
37,1848,33,19th
38,1849,38,19th
39,1850,20,19th
40,1851,223,19th
41,1852,109,19th
42,1853,65,19th
43,1854,315,19th
44,1855,164,19th
45,1856,276,19th
46,1857,568,19th
47,1858,213,19th
48,1859,355,19th
49,1860,564,19th
50,1861,36,19th
51,1862,88,19th
52,1863,100,19th
53,1864,273,19th
54,1865,143,19th
55,1866,268,19th
56,1867,10,19th
57,1868,6,19th
58,1869,383,19th
59,1870,100,19th
60,1871,184,19th
61,1872,25,19th
62,1873,312,19th
63,1874,5,19th
64,1875,386,19th
65,1876,11,19th
66,1877,72,19th
67,1878,6,19th
68,1879,0,19th
69,1880,7,19th
70,1881,123,19th
71,1882,5,19th
72,1883,49,19th
73,1884,13,19th
74,1885,48,19th
75,1886,25,19th
76,1887,108,19th
77,1888,21,19th
78,1889,18,19th
79,1890,39,19th
80,1891,22,19th
81,1892,451,19th
82,1893,49,19th
83,1894,52,19th
84,1895,18,19th
85,1896,47,19th
86,1897,7,19th
87,1898,150,19th
88,1899,119,19th
