,year,whom,cent
0,1900,0,20th
1,1901,5,20th
2,1902,30,20th
3,1903,4,20th
4,1904,34,20th
5,1905,0,20th
6,1906,0,20th
7,1907,6,20th
8,1908,1,20th
9,1909,5,20th
10,1910,8,20th
11,1911,47,20th
12,1912,4,20th
13,1913,8,20th
14,1914,12,20th
15,1915,7,20th
16,1916,2,20th
17,1917,84,20th
18,1918,18,20th
19,1919,3,20th
20,1920,6,20th
21,1921,25,20th
22,1922,9,20th
23,1923,9,20th
24,1924,1,20th
25,1925,2,20th
26,1926,0,20th
27,1927,0,20th
28,1928,1,20th
29,1929,1,20th
30,1930,15,20th
31,1931,13,20th
32,1932,7,20th
33,1933,4,20th
34,1934,5,20th
35,1935,13,20th
36,1936,4,20th
37,1937,7,20th
38,1938,6,20th
39,1939,16,20th
40,1940,4,20th
41,1941,14,20th
42,1942,6,20th
43,1943,14,20th
44,1944,3,20th
45,1945,18,20th
46,1946,2,20th
47,1947,6,20th
48,1948,10,20th
49,1949,41,20th
50,1950,9,20th
51,1951,1,20th
52,1952,2,20th
53,1953,0,20th
54,1954,7,20th
55,1955,2,20th
56,1956,2,20th
57,1957,0,20th
58,1958,6,20th
59,1959,14,20th
60,1960,11,20th
61,1961,4,20th
62,1962,27,20th
63,1963,4,20th
64,1964,16,20th
65,1965,8,20th
66,1966,6,20th
67,1967,23,20th
68,1968,4,20th
69,1969,17,20th
70,1970,0,20th
71,1971,4,20th
72,1972,1,20th
73,1973,8,20th
74,1974,6,20th
75,1975,2,20th
76,1976,1,20th
77,1977,2,20th
78,1978,5,20th
79,1979,3,20th
80,1980,25,20th
81,1981,10,20th
82,1982,6,20th
83,1983,2,20th
84,1984,1,20th
85,1985,7,20th
86,1986,2,20th
87,1987,9,20th
88,1988,12,20th
89,1989,10,20th
90,1990,1,20th
91,1991,3,20th
92,1992,3,20th
93,1993,0,20th
94,1994,1,20th
95,1995,0,20th
96,1996,0,20th
97,1997,0,20th
98,1998,0,20th
99,1999,0,20th
